Date,Total Vaccination Doses,Fully vaccinated (2 of 2 or 1 of 1),Received one dose
17/01/2021,11705,,
18/01/2021,13002,,
19/01/2021,14276,,
20/01/2021,15316,,
21/01/2021,16531,,
22/01/2021,17767,,
23/01/2021,18930,,
24/01/2021,19981,1198,18783
25/01/2021,21172,1463,19709
26/01/2021,22371,1694,20677
27/01/2021,23512,2095,21417
28/01/2021,24680,2518,22162
29/01/2021,25822,2969,22853
30/01/2021,26847,3456,23391
31/01/2021,27759,3948,23811
01/02/2021,29002,4476,24526
02/02/2021,30252,4891,25361
03/02/2021,31633,5410,26223
04/02/2021,33477,6457,27020
05/02/2021,35676,7594,28082
06/02/2021,37586,8749,28837
07/02/2021,39257,9918,29339
08/02/2021,41285,11050,30235
09/02/2021,43337,12135,31202
10/02/2021,44598,12928,31670
11/02/2021,46344,13820,32524
12/02/2021,48474,14739,33735
13/02/2021,50175,15601,34574
14/02/2021,51641,16265,35376
15/02/2021,53647,17102,36545
16/02/2021,55709,17843,37866
17/02/2021,57683,18536,39147
18/02/2021,59702,19199,40503
19/02/2021,62059,19828,42231
20/02/2021,63308,20189,43119
21/02/2021,64419,20531,43888
22/02/2021,66334,21160,45174
23/02/2021,68779,21767,47012
24/02/2021,71562,22501,49061
25/02/2021,73644,23395,50249
26/02/2021,76159,25118,51041
27/02/2021,77967,26781,51186
28/02/2021,79624,28048,51576
01/03/2021,81883,29021,52862
02/03/2021,84129,29748,54381
03/03/2021,86854,30329,56525
04/03/2021,89946,31034,58912
05/03/2021,92806,31710,61096
06/03/2021,95899,32420,63479
07/03/2021,97864,32862,65002
08/03/2021,101776,34181,67595
09/03/2021,105416,35093,70323
10/03/2021,108971,36246,72725
11/03/2021,113258,37182,76076
12/03/2021,117121,38333,78788
13/03/2021,120073,39099,80974
14/03/2021,122366,39695,82671
15/03/2021,126277,40681,85596
16/03/2021,130861,40859,90002
17/03/2021,133871,41621,92250
18/03/2021,138264,42557,95707
19/03/2021,140331,43267,97064
20/03/2021,143169,43919,99250
21/03/2021,145934,44483,101451
22/03/2021,150897,45286,105611
23/03/2021,155678,46140,109538
24/03/2021,160260,47081,113179
25/03/2021,166104,48933,117171
26/03/2021,171873,50050,121823
27/03/2021,176612,50557,126055
28/03/2021,180587,51237,129350
29/03/2021,186111,52340,133771
30/03/2021,191716,53540,138176
31/03/2021,197383,54578,142805
01/04/2021,203553,55597,147956
02/04/2021,209065,57123,151942
03/04/2021,212466,58004,154462
04/04/2021,215700,59032,156668
05/04/2021,219161,60096,159065
06/04/2021,223020,61111,161909
07/04/2021,227606,63114,164492
08/04/2021,232335,65205,167130
09/04/2021,237806,67491,170315
10/04/2021,240984,69306,171678
11/04/2021,244718,71481,173237
12/04/2021,249400,74053,175347
13/04/2021,254885,76593,178292
14/04/2021,259272,78139,181133
15/04/2021,264658,80671,183987
16/04/2021,269763,82486,187277
17/04/2021,274641,84152,190489
18/04/2021,276516,84933,191583
19/04/2021,282841,87770,195071
20/04/2021,288797,90173,198624
21/04/2021,295587,93727,201860
22/04/2021,301594,96631,204963
23/04/2021,307636,98677,208959
24/04/2021,311559,99574,211985
25/04/2021,313279,100686,212593
26/04/2021,318706,102535,216171
27/04/2021,323324,103882,219442
28/04/2021,326934,104464,222470
29/04/2021,331438,105628,225810
30/04/2021,335848,107038,228810
01/05/2021,339727,108216,231511
02/05/2021,341909,108716,233193
03/05/2021,346951,109933,237018
04/05/2021,352421,111318,241103
05/05/2021,359429,112731,246698
06/05/2021,365902,115333,251787
07/05/2021,372620,118209,255633
08/05/2021,375986,119427,257781
09/05/2021,379951,121185,258766
10/05/2021,386760,123843,265361
11/05/2021,392929,127255,268118
12/05/2021,400118,130537,272025
13/05/2021,406921,133332,276041
14/05/2021,414632,136975,280134
15/05/2021,420815,141143,283229
16/05/2021,424325,143487,284395
17/05/2021,430508,147667,286709
18/05/2021,437654,152581,289855
19/05/2021,445830,158489,293178
20/05/2021,453711,164113,296548
21/05/2021,461215,169177,299549
22/05/2021,468829,175246,301274
23/05/2021,474475,180243,302933
24/05/2021,482577,183556,308002
25/05/2021,490524,189055,310403
26/05/2021,498726,195856,311903
